Latitude,Longitude
39.975011531333,-105.209625354
39.974805986719,-105.20979567428
39.974160326663,-105.20827324871
39.973658042103,-105.20702583661
39.97322899955,-105.205922426
39.97266677757,-105.2045069893
39.971977577736,-105.20270447347
39.971471524836,-105.20138593499
39.970938633553,-105.20000892567
39.970182653381,-105.19807329484
39.969141271518,-105.19538817746
39.96846553903,-105.19370032819
39.96795764731,-105.19234900288
39.967275939949,-105.19061890626
39.96696580032,-105.18982242019
39.967174965949,-105.18968160421
39.967521820825,-105.19056769284
39.967914967606,-105.19157774764
39.968678672553,-105.19348486188
39.969343854343,-105.19525083829
39.970188216115,-105.19743043309
39.970678240134,-105.19868211068
39.971409759841,-105.20056985285
39.972115835886,-105.20238212538
39.972659018722,-105.20377624303
39.973222814497,-105.20523566731
39.973714339397,-105.20650334369
39.974167571688,-105.20764601239
39.974553473628,-105.20856920385





https://maps.co
"Created with Maps.co Map Maker"
