Latitude,Longitude
39.897753843922,-105.07907141956
39.897658157795,-105.07935238095
39.89697394965,-105.07897881344
39.895777324197,-105.07834014319
39.894034522532,-105.07726564462
39.891340840826,-105.0753981546
39.888843588953,-105.07357892416
39.887396178702,-105.07242359266
39.885495164154,-105.0710229145
39.883801367443,-105.06981870526
39.882167208167,-105.06857029246
39.881248456254,-105.06790698887
39.881343650725,-105.06756768943
39.881709543189,-105.06784011158
39.882135291684,-105.06815405428
39.882517420322,-105.0684369506
39.883293109662,-105.06900653865
39.883962419898,-105.0694989839
39.884514009594,-105.06991204409
39.885185878515,-105.07040079995
39.885823899585,-105.07087286874
39.886885882781,-105.07165875598
39.88734939414,-105.07200714235
39.8881941183,-105.07262543271
39.889264296859,-105.07341360058
39.889499939701,-105.07358794417
39.890598101059,-105.07436722166
39.891732421486,-105.0752316933
39.892628617519,-105.07588680109
39.893608797564,-105.07660038938
39.894646341721,-105.07729938857
39.895720837727,-105.07795345325
39.897261586575,-105.0788030027





https://maps.co
"Created with Maps.co Map Maker"
