Latitude,Longitude
39.842857035072,-105.04032559742
39.842676836271,-105.04062131096
39.841447341257,-105.03919640601
39.840253243586,-105.03744812186
39.83943752366,-105.03599019351
39.838714630184,-105.03445060553
39.83824490423,-105.03323513058
39.83756997444,-105.03102602454
39.836831851573,-105.02816672419
39.835993592157,-105.02512594904
39.835389318515,-105.02320190644
39.834689356274,-105.02059710056
39.834878570817,-105.0205015389
39.835222869726,-105.02170583006
39.835970382245,-105.02430819913
39.836698075506,-105.02686957267
39.837255539508,-105.02885781224
39.83763077269,-105.03021799613
39.838245281148,-105.03233558508
39.838777965569,-105.03379106464
39.839389268177,-105.03519671788
39.839950602248,-105.0363163973
39.840649604373,-105.03750179563
39.841342670296,-105.03850456866
39.842080169424,-105.03944812907





https://maps.co
"Created with Maps.co Map Maker"
