Latitude,Longitude
39.874228240363,-105.06232040344
39.874126860594,-105.06259868262
39.872401079157,-105.06132608025
39.870687908011,-105.06031600672
39.86714747518,-105.05863870124
39.8655482616,-105.05789875704
39.863834313243,-105.05713567315
39.862177450432,-105.05629278447
39.85989708322,-105.05525465923
39.85802321996,-105.05432234572
39.856218128068,-105.05330174497
39.854594792502,-105.05217453373
39.85245156635,-105.05043808285
39.850351078479,-105.04845379349
39.84914308243,-105.04726955671
39.84933458996,-105.04694635052
39.849975149767,-105.0476047321
39.85070346052,-105.04834325443
39.851517974589,-105.04915839774
39.852373368388,-105.04993838301
39.853139702732,-105.05060367427
39.853811499985,-105.05115770915
39.854460305086,-105.05166789946
39.855778126397,-105.05259829333
39.856849009728,-105.05328631306
39.858044704051,-105.05397660392
39.859212050648,-105.05457740686
39.860400972144,-105.05513462355
39.862261360454,-105.05599598749
39.864187757049,-105.05688837114
39.865824441156,-105.05764209954
39.866802209467,-105.05809046132
39.867743452985,-105.05852845131
39.868653922794,-105.05895529029
39.869449766595,-105.0593126411
39.870261218994,-105.05968994223
39.870812559182,-105.05997495881
39.871436392202,-105.0603290104
39.872127645622,-105.06078049135
39.872899838303,-105.06134757794
39.873648387934,-105.06188838105





https://maps.co
"Created with Maps.co Map Maker"
