Latitude,Longitude
39.95451764,-105.1594418
39.9542668,-105.1591092
39.95397484,-105.1587658
39.95364938,-105.1583532
39.95339854,-105.1579884
39.95311135,-105.1576327
39.95283172,-105.1572625
39.95253975,-105.1568763
39.95215377,-105.1564088
39.95188647,-105.156028
39.95138022,-105.1554048
39.95085385,-105.1547397
39.95033569,-105.1540423
39.94967771,-105.1532054
39.94894569,-105.1521862
39.94809286,-105.1509051
39.94763226,-105.1502184
39.94723745,-105.1496176
39.94684265,-105.1490383
39.94649231,-105.1484597
39.94613451,-105.1479233
39.94574792,-105.1473224
39.94533202,-105.1466782
39.94489404,-105.146005
39.94444986,-105.1453398
39.94395633,-105.1445566
39.94352861,-105.1439128
39.94296361,-105.1430056
39.94237136,-105.1421097
39.94175663,-105.1412319
39.94126101,-105.1403811
39.94070988,-105.1395496
39.93984703,-105.1382029
39.93932879,-105.1372856
39.93842498,-105.1355936
39.93803424,-105.1346548
39.93706576,-105.1325269
39.93634595,-105.1309605
39.9356359,-105.1293775
39.93488317,-105.1277628
39.93428425,-105.1263844
39.93392639,-105.1255904
39.93354796,-105.1247268
39.93310855,-105.1237593
39.93288231,-105.1232657
39.93259849,-105.1226596
39.93232289,-105.1220856
39.93209665,-105.1215867
39.93180861,-105.1209842
39.93155768,-105.1205496
39.93129923,-105.1201754
39.93100717,-105.119698
39.93073157,-105.119301
39.93032007,-105.1187114
39.92996219,-105.1182393
39.92968033,-105.1178826
39.92938826,-105.1175017
39.92900094,-105.1170644
39.92865951,-105.1166138
39.92838389,-105.1162705
39.92807536,-105.1158682
39.9277874,-105.1155141
39.92754755,-105.1152355
39.92735009,-105.1149351
39.92712795,-105.1147098
39.92686467,-105.1143558
39.92670834,-105.1141412
39.92649442,-105.1138622
39.92623937,-105.1135404
39.92607481,-105.1133258
39.92586912,-105.1130683
39.92564969,-105.1127896
39.92547279,-105.1125616
39.92526915,-105.1123014
39.92502438,-105.1119849
39.92480474,-105.1117147
39.92455379,-105.1113392
39.92433164,-105.1110173
39.9240996,-105.11066
39.92388157,-105.1103221
39.92368324,-105.1100021
39.92348577,-105.1096051
39.9232595,-105.1092242
39.92300485,-105.1087792
39.9227539,-105.108275
39.92256481,-105.1078956
39.92236733,-105.1074718
39.92213283,-105.1069622
39.9218325,-105.1063024
39.92160211,-105.1057874
39.92126782,-105.1050608
39.92094281,-105.1043795
39.92067539,-105.1038001
39.92048614,-105.103371
39.92024799,-105.1028244
39.91991063,-105.1021163
39.91965143,-105.101537
39.91924824,-105.1006465
39.91884915,-105.0997613
39.91803751,-105.0980512
39.91739567,-105.0966189
39.91678674,-105.0953422
39.9165719,-105.0948739
39.91625097,-105.0942731
39.91596296,-105.0938171
39.91566153,-105.0933109
39.91532414,-105.0928174
39.91501144,-105.0923453
39.91469874,-105.0919055
39.9143202,-105.0914227
39.91369973,-105.0907701
39.91314014,-105.0901666
39.91270811,-105.0897482
39.91226578,-105.0893298
39.91179483,-105.088923
39.91153,-105.0887155
39.91115968,-105.0884473
39.91089732,-105.0882652
39.91056814,-105.0880372
39.91011345,-105.0877395
39.90977989,-105.0874943
39.90946305,-105.0872637
39.9090886,-105.0870223
39.90880879,-105.0868023
39.90839944,-105.086532
39.90804144,-105.0862799
39.90764229,-105.0859795
39.90728018,-105.0857274
39.90685395,-105.0854299
39.90652475,-105.0852207
39.90624905,-105.0849847
39.90578075,-105.0846806
39.90529928,-105.0843105
39.90471173,-105.0839064
39.90420969,-105.0835738
39.90364591,-105.0831715
39.90309049,-105.0827864
39.90260078,-105.0824485
39.90213749,-105.0820997
39.90171361,-105.0818262
39.9013597,-105.0815633
39.90094633,-105.0812547
39.90035372,-105.0808631
39.89999,-105.0806504
39.89968957,-105.0804251
39.89948174,-105.0802775
39.89927875,-105.0801596
39.89912957,-105.0800564
39.89897591,-105.0799525
39.89885214,-105.0798777
39.89871717,-105.0797861
39.89849023,-105.079639
39.89828156,-105.0795289
39.89805109,-105.0794082
39.89777991,-105.0792488
39.89767053,-105.0791813
39.89747586,-105.0790775
39.8973493,-105.0790158
39.8971345,-105.0789045
39.89693901,-105.0787905
39.8967356,-105.0786866
39.89655863,-105.0785887
39.89632654,-105.0784569
39.89608009,-105.0783252
39.89594548,-105.0782477
39.89580246,-105.078182
39.89561525,-105.0780545
39.89543621,-105.077974
39.89527365,-105.0778667
39.89509358,-105.0777455
39.89494953,-105.0776677
39.89472441,-105.0775285
39.89452068,-105.0773944
39.89435194,-105.0772844
39.89413611,-105.0771352
39.89399,-105.0770467
39.89380685,-105.0769072
39.8936338,-105.0768066
39.89352885,-105.0767342
39.89335804,-105.0766269
39.89317901,-105.0764901
39.89302082,-105.0763643
39.89286647,-105.0762731
39.89265931,-105.0761154
39.89249056,-105.0759921
39.89232593,-105.0758714
39.89194705,-105.0755757
39.89176595,-105.0754309
39.89157868,-105.0752968
39.89130778,-105.0750861
39.8909615,-105.0748289
39.89070631,-105.0746572
39.89031537,-105.0743912
39.88974226,-105.0739705
39.88933516,-105.0736535
39.88871866,-105.073206
39.88827986,-105.0728728
39.8878108,-105.07253
39.8872935,-105.0721264
39.88710344,-105.072009
39.88670211,-105.0717006
39.88636381,-105.0714613
39.88605097,-105.0712306
39.88571192,-105.0709815
39.88535495,-105.0707277
39.88499683,-105.0704487
39.88466341,-105.0701805
39.88407995,-105.0697774
39.88373006,-105.0695146
39.88332871,-105.0692115
39.88274937,-105.0688036
39.88226199,-105.0684295
39.88165687,-105.0679789
39.88114166,-105.0675926
39.88066414,-105.0672707
39.88031835,-105.0669864
39.87991904,-105.0666752
39.87949429,-105.0664002
39.87918966,-105.0661535
39.87885801,-105.0659026
39.87848751,-105.0656558
39.87814082,-105.0653873
39.87786911,-105.0651942
39.87752331,-105.0649314
39.87706743,-105.0645941
39.87673808,-105.0643581
39.87643669,-105.0641448
39.87618968,-105.0639571
39.8758768,-105.0637157
39.87545277,-105.0633884
39.87516618,-105.0632007
39.8749027,-105.0629861
39.87454453,-105.0627501
39.87412049,-105.0624175
39.87373872,-105.0621297
39.87339701,-105.0618883
39.87302648,-105.0616201
39.87280005,-105.0614646
39.87240481,-105.0611534
39.8720126,-105.0608853
39.87168323,-105.0606707
39.87126145,-105.0604101
39.87085797,-105.0601901
39.87042567,-105.0599648
39.8700683,-105.0597869
39.86975539,-105.0596474
39.86945895,-105.0594972
